date_lab_plate	Title	Date	Lab	Plate
2023-06-07_Demengeot_plate_3	2023-06-07 plate_3	2023-06-07	Demengeot	plate_3
2023-06-07_Demengeot_plate_4	2023-06-07 plate_4	2023-06-07	Demengeot	plate_4
2023-06-07_Demengeot_plate_5	2023-06-07 plate_5	2023-06-07	Demengeot	plate_5
2023-06-07_Demengeot_plate_6	2023-06-07 plate_6	2023-06-07	Demengeot	plate_6
2023-06-10_Demengeot_plate_1	2023-06-10 plate_1	2023-06-10	Demengeot	plate_1
2023-06-10_Demengeot_plate_2	2023-06-10 plate_2	2023-06-10	Demengeot	plate_2
2023-06-10_Demengeot_plate_3	2023-06-10 plate_3	2023-06-10	Demengeot	plate_3
2023-06-10_Demengeot_plate_4	2023-06-10 plate_4	2023-06-10	Demengeot	plate_4
2023-06-11_Demengeot_plate_1	2023-06-11 plate_1	2023-06-11	Demengeot	plate_1
2023-06-11_Demengeot_plate_2	2023-06-11 plate_2	2023-06-11	Demengeot	plate_2
2023-06-11_Demengeot_plate_3	2023-06-11 plate_3	2023-06-11	Demengeot	plate_3
2023-06-11_Demengeot_plate_4	2023-06-11 plate_4	2023-06-11	Demengeot	plate_4
2023-06-11_Demengeot_plate_5	2023-06-11 plate_5	2023-06-11	Demengeot	plate_5
2023-06-11_Demengeot_plate_6	2023-06-11 plate_6	2023-06-11	Demengeot	plate_6
2023-06-11_Demengeot_plate_7	2023-06-11 plate_7	2023-06-11	Demengeot	plate_7
2023-06-11_Demengeot_plate_8	2023-06-11 plate_8	2023-06-11	Demengeot	plate_8
2023-06-18_Demengeot_plate_1	2023-06-18 plate_1	2023-06-18	Demengeot	plate_1
2023-06-18_Demengeot_plate_2	2023-06-18 plate_2	2023-06-18	Demengeot	plate_2
2023-06-18_Demengeot_plate_3	2023-06-18 plate_3	2023-06-18	Demengeot	plate_3
2023-06-18_Demengeot_plate_4	2023-06-18 plate_4	2023-06-18	Demengeot	plate_4
2023-06-18_Demengeot_plate_5	2023-06-18 plate_5	2023-06-18	Demengeot	plate_5
2023-06-18_Demengeot_plate_6	2023-06-18 plate_6	2023-06-18	Demengeot	plate_6
2023-06-18_Demengeot_plate_7	2023-06-18 plate_7	2023-06-18	Demengeot	plate_7
2023-06-18_Demengeot_plate_8	2023-06-18 plate_8	2023-06-18	Demengeot	plate_8
2023-06-20_Demengeot_plate_1	2023-06-20 plate_1	2023-06-20	Demengeot	plate_1
2023-06-20_Demengeot_plate_2	2023-06-20 plate_2	2023-06-20	Demengeot	plate_2
2023-06-20_Demengeot_plate_3	2023-06-20 plate_3	2023-06-20	Demengeot	plate_3
2023-06-20_Demengeot_plate_4	2023-06-20 plate_4	2023-06-20	Demengeot	plate_4
2023-06-20_Demengeot_plate_5	2023-06-20 plate_5	2023-06-20	Demengeot	plate_5
2023-06-24_Demengeot_plate_1	2023-06-24 plate_1	2023-06-24	Demengeot	plate_1
2023-06-24_Demengeot_plate_2	2023-06-24 plate_2	2023-06-24	Demengeot	plate_2
2023-06-24_Demengeot_plate_3	2023-06-24 plate_3	2023-06-24	Demengeot	plate_3
2023-06-24_Demengeot_plate_4	2023-06-24 plate_4	2023-06-24	Demengeot	plate_4
2023-06-24_Demengeot_plate_5	2023-06-24 plate_5	2023-06-24	Demengeot	plate_5
2023-06-25_Demengeot_plate_1	2023-06-25 plate_1	2023-06-25	Demengeot	plate_1
2023-06-25_Demengeot_plate_2	2023-06-25 plate_2	2023-06-25	Demengeot	plate_2
2023-06-25_Demengeot_plate_3	2023-06-25 plate_3	2023-06-25	Demengeot	plate_3
2023-06-25_Demengeot_plate_4	2023-06-25 plate_4	2023-06-25	Demengeot	plate_4
2023-06-25_Demengeot_plate_5	2023-06-25 plate_5	2023-06-25	Demengeot	plate_5
2023-06-25_Demengeot_plate_6	2023-06-25 plate_6	2023-06-25	Demengeot	plate_6
2023-06-25_Demengeot_plate_7	2023-06-25 plate_7	2023-06-25	Demengeot	plate_7
2023-06-25_Demengeot_plate_8	2023-06-25 plate_8	2023-06-25	Demengeot	plate_8
2023-06-27_Demengeot_plate_1	2023-06-27 plate_1	2023-06-27	Demengeot	plate_1
2023-06-27_Demengeot_plate_2	2023-06-27 plate_2	2023-06-27	Demengeot	plate_2
2023-06-27_Demengeot_plate_3	2023-06-27 plate_3	2023-06-27	Demengeot	plate_3
2023-06-27_Demengeot_plate_4	2023-06-27 plate_4	2023-06-27	Demengeot	plate_4
2023-06-27_Demengeot_plate_5	2023-06-27 plate_5	2023-06-27	Demengeot	plate_5
2023-06-27_Demengeot_plate_6	2023-06-27 plate_6	2023-06-27	Demengeot	plate_6
2023-06-27_Demengeot_plate_7	2023-06-27 plate_7	2023-06-27	Demengeot	plate_7
2023-07-04_Demengeot_plate_1	2023-07-04 plate_1	2023-07-04	Demengeot	plate_1
2023-07-04_Demengeot_plate_2	2023-07-04 plate_2	2023-07-04	Demengeot	plate_2
2023-07-04_Demengeot_plate_3	2023-07-04 plate_3	2023-07-04	Demengeot	plate_3
2023-07-04_Demengeot_plate_4	2023-07-04 plate_4	2023-07-04	Demengeot	plate_4
2023-07-04_Demengeot_plate_5	2023-07-04 plate_5	2023-07-04	Demengeot	plate_5
2023-07-05_Demengeot_plate_1	2023-07-05 plate_1	2023-07-05	Demengeot	plate_1
2023-07-05_Demengeot_plate_2	2023-07-05 plate_2	2023-07-05	Demengeot	plate_2
2023-07-05_Demengeot_plate_3	2023-07-05 plate_3	2023-07-05	Demengeot	plate_3
2023-07-05_Demengeot_plate_4	2023-07-05 plate_4	2023-07-05	Demengeot	plate_4
2023-07-05_Demengeot_plate_5	2023-07-05 plate_5	2023-07-05	Demengeot	plate_5
2023-07-25_Demengeot_plate_1	2023-07-25 plate_1	2023-07-25	Demengeot	plate_1
2023-07-25_Demengeot_plate_2	2023-07-25 plate_2	2023-07-25	Demengeot	plate_2
2023-07-25_Demengeot_plate_3	2023-07-25 plate_3	2023-07-25	Demengeot	plate_3
2023-07-25_Demengeot_plate_4	2023-07-25 plate_4	2023-07-25	Demengeot	plate_4
2023-07-25_Demengeot_plate_5	2023-07-25 plate_5	2023-07-25	Demengeot	plate_5
2023-07-25_Demengeot_plate_6	2023-07-25 plate_6	2023-07-25	Demengeot	plate_6
2023-07-25_Demengeot_plate_7	2023-07-25 plate_7	2023-07-25	Demengeot	plate_7
2023-08-01_Demengeot_plate_1	2023-08-01 plate_1	2023-08-01	Demengeot	plate_1
2023-08-01_Demengeot_plate_2	2023-08-01 plate_2	2023-08-01	Demengeot	plate_2
2023-08-01_Demengeot_plate_3	2023-08-01 plate_3	2023-08-01	Demengeot	plate_3
2023-08-01_Demengeot_plate_4	2023-08-01 plate_4	2023-08-01	Demengeot	plate_4
2023-08-01_Demengeot_plate_5	2023-08-01 plate_5	2023-08-01	Demengeot	plate_5
2023-08-01_Demengeot_plate_6	2023-08-01 plate_6	2023-08-01	Demengeot	plate_6
2023-08-01_Demengeot_plate_7	2023-08-01 plate_7	2023-08-01	Demengeot	plate_7
2023-08-01_Demengeot_plate_8	2023-08-01 plate_8	2023-08-01	Demengeot	plate_8
2023-08-20_Demengeot_plate_1	2023-08-20 plate_1	2023-08-20	Demengeot	plate_1
2023-08-20_Demengeot_plate_2	2023-08-20 plate_2	2023-08-20	Demengeot	plate_2
2023-08-20_Demengeot_plate_3	2023-08-20 plate_3	2023-08-20	Demengeot	plate_3
2023-08-20_Demengeot_plate_4	2023-08-20 plate_4	2023-08-20	Demengeot	plate_4
2023-08-20_Demengeot_plate_5	2023-08-20 plate_5	2023-08-20	Demengeot	plate_5
2023-08-21_Demengeot_plate_1	2023-08-21 plate_1	2023-08-21	Demengeot	plate_1
2023-08-21_Demengeot_plate_2	2023-08-21 plate_2	2023-08-21	Demengeot	plate_2
